id,pergunta,modelo,resposta,score,justificativa,concurso,batch,arquivo,n_tokens,n_palavras,n_chars
1,Qual o período de inscrição para o concurso BNDES?,claude-haiku-4-5,"**Período de inscrição do BNDES (01/2024):**

As inscrições foram realizadas de **26 de julho a 19 de agosto de 2024**, entre 10 horas do dia 26/07 e 23h59 do dia 19/08/2024, exclusivamente via internet no site da Fundação Cesgranrio (www.cesgranrio.org.br).

**Status atual:** Hoje é 30/04/2026. O período de inscrição **já encerrou há mais de um ano e meio**. Este concurso não está mais aberto para novas inscrições.

ref: edital [6.2.1, 6.3.1, ANEXO III]",1,respondeu o período com aviso útil e volume razoável,bndes,1,bndes_batch_01_avaliacao_foco_concisao.xlsx,161,73,458
1,Qual o período de inscrição para o concurso BNDES?,claude-opus-4-7,"O período de inscrição para o concurso BNDES (Edital 01/2024) foi:

📅 **De 10h do dia 26/07/2024 até 23h59 do dia 19/08/2024**, pelo site da Fundação Cesgranrio (www.cesgranrio.org.br).

Para candidatos que solicitaram **isenção da taxa**, o prazo foi diferente: de **26/07 a 02/08/2024**.

⚠️ **Hoje é 30/04/2026**, portanto o período de inscrição ENCERROU há bastante tempo. Inclusive, segundo o cronograma, a previsão de divulgação dos resultados finais foi em 30/01/2025, ou seja, esse certame já se encerrou.

Se quiser informações sobre conteúdo programático, provas ou outros detalhes desse edital (para fins de estudo), posso ajudar.

ref: edital [6.2.1, 6.7, Anexo III]",0,"despejou isenção, resultado final e oferta sem pedir",bndes,1,bndes_batch_01_avaliacao_foco_concisao.xlsx,232,101,678
1,Qual o período de inscrição para o concurso BNDES?,claude-sonnet-4-6,"Aqui estão as informações sobre o período de inscrição do concurso BNDES 01/2024:

---

### 📅 Período de Inscrições

| Detalhe | Data/Horário |
|---|---|
| **Início** | 26/07/2024 às 10h |
| **Encerramento** | 19/08/2024 às 23h59 |
| **Isenção de taxa** | 26/07 a 02/08/2024 |

---

### ⚠️ Situação Atual

Hoje é **30/04/2026**. O período de inscrições foi de **26/07/2024 a 19/08/2024**. Portanto, as inscrições **já encerraram há bastante tempo**.

---

### ℹ️ Informações Adicionais
- As inscrições eram realizadas **exclusivamente via internet**, no site da Fundação Cesgranrio (www.cesgranrio.org.br).
- A taxa de inscrição era de **R$ 110,00**.
- A aplicação das provas ocorreu em **13/10/2024**.
- A previsão de divulgação dos resultados finais era **30/01/2025**.

ref: edital [6.2.1, 6.3.1, 6.2.3, Anexo III]",0,"despejou tabela, taxa, prova e resultado sem pedir",bndes,1,bndes_batch_01_avaliacao_foco_concisao.xlsx,309,126,817
1,Qual o período de inscrição para o concurso BNDES?,deepseek-v4-flash,"O período de inscrição para o concurso BNDES (Edital 01/2024) foi **das 10h do dia 26/07/2024 até as 23h59 do dia 19/08/2024**, exclusivamente via internet, na página da Fundação Cesgranrio (www.cesgranrio.org.br).

O valor da taxa de inscrição é de **R$ 110,00**.

**Importante:** Como esse período já se encerrou, não é mais possível se inscrever neste concurso.

ref: edital [6.2.1, 6.3.1, Anexo III]",1,respondeu o período com poucos detalhes extras,bndes,1,bndes_batch_01_avaliacao_foco_concisao.xlsx,140,62,403
1,Qual o período de inscrição para o concurso BNDES?,deepseek-v4-pro,"O período de inscrição para o concurso do BNDES (Edital 01/2024) foi **das 10h do dia 26/07/2024 até as 23h59 do dia 19/08/2024**, exclusivamente pela internet, no site da Fundação Cesgranrio (www.cesgranrio.org.br).

Hoje é **29/04/2026**. Portanto, as inscrições **já se encerraram** há bastante tempo.

Vale destacar também que o período para solicitação de **isenção da taxa de inscrição** foi de **26/07 a 02/08/2024**, e o valor da taxa foi de **R$ 110,00**.

ref: edital [6.2.1, 6.3.1, Anexo III]",0,acrescentou isenção e taxa de forma desproporcional,bndes,1,bndes_batch_01_avaliacao_foco_concisao.xlsx,182,78,503
1,Qual o período de inscrição para o concurso BNDES?,gpt-4o-mini,"O período de inscrição para o concurso do BNDES será de 26 de julho a 19 de agosto de 2024, com as inscrições sendo realizadas exclusivamente pela internet na página da Fundação Cesgranrio.

Além disso, os candidatos que desejarem solicitar isenção do valor da inscrição poderão fazê-lo entre 26 de julho e 2 de agosto de 2024.

ref: edital [6.2.1, 6.7, Anexo III]",1,respondeu o período com detalhe extra curto,bndes,1,bndes_batch_01_avaliacao_foco_concisao.xlsx,114,63,364
1,Qual o período de inscrição para o concurso BNDES?,gpt-5.4,"O período de inscrição foi de 26/07/2024 a 19/08/2024.

ref: edital [Anexo III]",1,respondeu só o período com volume razoável,bndes,1,bndes_batch_01_avaliacao_foco_concisao.xlsx,33,13,79
1,Qual o período de inscrição para o concurso BNDES?,gpt-5.4-mini,"O período de inscrição foi de 26/07/2024 a 19/08/2024, conforme o cronograma do edital. As inscrições eram feitas exclusivamente pela internet.

ref: edital [ANEXO III, 6.2]",1,respondeu o período com contexto mínimo,bndes,1,bndes_batch_01_avaliacao_foco_concisao.xlsx,61,26,173
1,Qual o período de inscrição para o concurso BNDES?,gpt-5.5,"Hoje é 30/04/2026. O período de inscrição para o concurso BNDES foi de 26/07/2024 a 19/08/2024. Portanto, as inscrições já encerraram.

ref: edital [Anexo III]",1,respondeu o período e avisou encerramento,bndes,1,bndes_batch_01_avaliacao_foco_concisao.xlsx,62,25,159
1,Qual o período de inscrição para o concurso BNDES?,chatgpt,"O período de inscrição para a Seleção Pública do
Banco Nacional de Desenvolvimento Econômico e Social
foi de
26 de julho de 2024 até 19 de agosto de 2024, das 10h do primeiro dia até 23h59 do último dia (horário de Brasília).
20240812EditalRetificadoFINALBN…
As inscrições deveriam ser realizadas exclusivamente pelo site da
Fundação Cesgranrio.
20240812EditalRetificadoFINALBN…",1,respondeu o período com volume razoável,bndes,1,bndes_batch_01_avaliacao_foco_concisao.xlsx,112,55,378
